epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,693.756,1.78989,3.2033,1.54887,0.48437,0.47195,0.45993,0.23813,1.75868,2.12619,1.59203,0.000255933,0.000255933,0.000255933
2,1460.87,1.71676,1.9981,1.47137,0.5055,0.4868,0.47614,0.24653,1.77718,2.06788,1.60449,0.000502124,0.000502124,0.000502124
3,2241.18,1.69317,1.86762,1.47372,0.54755,0.52811,0.52481,0.26395,1.7423,1.79475,1.53484,0.000738164,0.000738164,0.000738164
4,3056.21,1.69755,1.80233,1.45445,0.58942,0.52412,0.54377,0.28706,1.6814,1.62063,1.47275,0.000723321,0.000723321,0.000723321
5,3932.07,1.6593,1.71358,1.44125,0.6131,0.59989,0.62118,0.32149,1.65301,1.52131,1.45647,0.000708095,0.000708095,0.000708095
6,4889.36,1.60932,1.60844,1.39536,0.62527,0.61706,0.64321,0.33804,1.65168,1.49793,1.46638,0.000692869,0.000692869,0.000692869
7,5839.62,1.59296,1.54628,1.37193,0.71706,0.56234,0.62877,0.33927,1.63023,1.55878,1.4433,0.000677643,0.000677643,0.000677643
8,6679.43,1.5823,1.49403,1.36972,0.67927,0.62903,0.67099,0.36728,1.58785,1.34682,1.41334,0.000662417,0.000662417,0.000662417
9,7534.84,1.58102,1.4887,1.36697,0.67799,0.61132,0.66381,0.35198,1.6136,1.37211,1.41264,0.00064719,0.00064719,0.00064719
10,8332.75,1.54697,1.41055,1.34106,0.70942,0.63611,0.70333,0.37855,1.55305,1.31615,1.3637,0.000631964,0.000631964,0.000631964
11,9123.54,1.53111,1.40149,1.33776,0.69428,0.6363,0.702,0.38746,1.54939,1.28329,1.36568,0.000616738,0.000616738,0.000616738
12,10054.2,1.50663,1.35606,1.31658,0.68664,0.66792,0.69147,0.37178,1.60751,1.2616,1.39327,0.000601512,0.000601512,0.000601512
