epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,791.25,1.82979,6.39904,1.5765,0.55226,0.41994,0.42945,0.20529,1.84291,5.55119,1.63169,0.000255948,0.000255948,0.000255948
2,1612.81,1.78433,4.20077,1.53661,0.52989,0.47516,0.48115,0.24904,1.73283,3.77337,1.52487,0.000502139,0.000502139,0.000502139
3,2425.84,1.75115,3.96397,1.50733,0.54161,0.50849,0.50563,0.26124,1.74409,3.68252,1.5271,0.000738178,0.000738178,0.000738178
4,3206.56,1.76322,3.89488,1.51113,0.56399,0.57129,0.57747,0.30004,1.67443,3.25583,1.46407,0.000723321,0.000723321,0.000723321
5,4067.23,1.71792,3.58885,1.46816,0.62923,0.58861,0.61744,0.31428,1.72933,3.02537,1.49042,0.000708095,0.000708095,0.000708095
6,4920.89,1.69121,3.50945,1.45238,0.66258,0.60715,0.63317,0.32337,1.66307,3.04683,1.43625,0.000692869,0.000692869,0.000692869
7,5703.12,1.66276,3.36267,1.42295,0.64481,0.63036,0.65417,0.34554,1.6526,2.81261,1.43616,0.000677643,0.000677643,0.000677643
8,6723.32,1.63617,3.23728,1.41419,0.65745,0.64564,0.67548,0.35386,1.619,2.75677,1.40175,0.000662417,0.000662417,0.000662417
9,7856.05,1.6312,3.12775,1.40053,0.66995,0.63716,0.6878,0.36307,1.59985,2.70367,1.38258,0.00064719,0.00064719,0.00064719
10,8935.07,1.62463,3.15873,1.39915,0.70917,0.65456,0.69985,0.37514,1.59228,2.58767,1.35001,0.000631964,0.000631964,0.000631964
11,10034.5,1.60709,3.05031,1.39133,0.71666,0.66314,0.71214,0.39254,1.53526,2.51402,1.34373,0.000616738,0.000616738,0.000616738
12,10839.6,1.58568,2.98203,1.37248,0.71496,0.65874,0.716,0.39064,1.5889,2.45733,1.35594,0.000601512,0.000601512,0.000601512
13,11604.8,1.60187,2.99794,1.38491,0.68805,0.69688,0.72705,0.39892,1.52775,2.44647,1.33334,0.000586286,0.000586286,0.000586286
14,12442.4,1.56268,2.86735,1.35257,0.74957,0.67686,0.73918,0.40336,1.55164,2.41422,1.34072,0.000571059,0.000571059,0.000571059
15,13241.5,1.54199,2.80873,1.34887,0.74201,0.69333,0.76321,0.42199,1.55066,2.30631,1.34215,0.000555833,0.000555833,0.000555833
16,14089.4,1.54677,2.80919,1.35611,0.70987,0.69948,0.73351,0.40665,1.51399,2.33283,1.32569,0.000540607,0.000540607,0.000540607
17,14878.6,1.53592,2.80525,1.34577,0.72541,0.70205,0.75547,0.41075,1.56258,2.29125,1.3402,0.000525381,0.000525381,0.000525381
18,15715.3,1.52663,2.71334,1.33687,0.72745,0.69525,0.7493,0.41571,1.53743,2.27407,1.32255,0.000510155,0.000510155,0.000510155
19,16511.8,1.51702,2.68982,1.32701,0.74916,0.69517,0.76005,0.42823,1.52325,2.2239,1.32194,0.000494928,0.000494928,0.000494928
20,17288,1.5105,2.69341,1.32837,0.7479,0.70727,0.76223,0.42563,1.53916,2.21409,1.31946,0.000479702,0.000479702,0.000479702
21,18064.7,1.50565,2.62766,1.31667,0.73181,0.71795,0.75773,0.42117,1.5216,2.22809,1.30431,0.000464476,0.000464476,0.000464476
22,18844.8,1.50026,2.5996,1.31224,0.75281,0.71835,0.78206,0.44289,1.49325,2.10932,1.29309,0.00044925,0.00044925,0.00044925
23,19644.9,1.49748,2.58532,1.31192,0.77869,0.73363,0.79535,0.44384,1.50685,2.07864,1.29203,0.000434024,0.000434024,0.000434024
24,20465.2,1.47971,2.53055,1.29617,0.75839,0.7174,0.7729,0.43707,1.49578,2.1605,1.29005,0.000418797,0.000418797,0.000418797
