epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,325.337,1.26855,0.87805,1.22248,0.78762,0.77287,0.80725,0.44684,1.59088,0.94081,1.34998,0.000249864,0.000249864,0.050277
2,651.899,1.21739,0.8092,1.19987,0.78121,0.77373,0.80823,0.44763,1.57905,0.95448,1.34224,0.000499102,0.000499102,0.000526231
3,973.848,1.20769,0.79618,1.19338,0.81485,0.75395,0.80902,0.44894,1.55931,0.93175,1.3385,0.000496953,0.000496953,0.000496953
4,1299.61,1.20661,0.78369,1.1887,0.80086,0.75399,0.80717,0.45413,1.55893,0.93647,1.32737,0.000493162,0.000493162,0.000493162
5,1628.06,1.20158,0.77661,1.18552,0.78219,0.78292,0.80898,0.44547,1.61116,0.94334,1.36269,0.000487886,0.000487886,0.000487886
6,1955.68,1.18945,0.76552,1.17876,0.79022,0.77103,0.80928,0.44453,1.59115,0.95299,1.33436,0.00048116,0.00048116,0.00048116
7,2286.27,1.18881,0.76251,1.18147,0.78744,0.76854,0.80381,0.43796,1.60535,0.955,1.36017,0.000473024,0.000473024,0.000473024
8,2613.63,1.16211,0.74605,1.17017,0.80031,0.76367,0.80581,0.45384,1.55782,0.93278,1.33306,0.000463528,0.000463528,0.000463528
9,2943.22,1.16427,0.73832,1.17194,0.79318,0.76502,0.80425,0.45355,1.55814,0.93556,1.33017,0.000452732,0.000452732,0.000452732
10,3274.87,1.17373,0.73725,1.16586,0.79938,0.76046,0.79696,0.45376,1.54599,0.94011,1.33399,0.0004407,0.0004407,0.0004407
11,3605.77,1.14498,0.72748,1.16092,0.79582,0.76701,0.80875,0.45025,1.58187,0.92734,1.34428,0.000427509,0.000427509,0.000427509
12,3936.62,1.14258,0.71431,1.15017,0.79195,0.77332,0.80682,0.44868,1.58549,0.92488,1.34322,0.000413238,0.000413238,0.000413238
13,4266.57,1.14253,0.71736,1.15107,0.80699,0.76044,0.80817,0.4588,1.55847,0.90671,1.33884,0.000397977,0.000397977,0.000397977
14,4596.16,1.1402,0.71625,1.15005,0.79051,0.77184,0.79968,0.44462,1.5999,0.93711,1.34605,0.000381818,0.000381818,0.000381818
15,4925.59,1.12736,0.69135,1.14335,0.79121,0.78362,0.80307,0.44768,1.57091,0.92373,1.33777,0.000364863,0.000364863,0.000364863
16,5254.69,1.12193,0.69635,1.14012,0.79108,0.77695,0.80372,0.45155,1.57186,0.94078,1.34239,0.000347214,0.000347214,0.000347214
17,5583.9,1.11161,0.67191,1.13167,0.79552,0.76538,0.80144,0.44745,1.59111,0.93553,1.36206,0.000328982,0.000328982,0.000328982
18,5910.4,1.11127,0.67411,1.13058,0.80974,0.77879,0.81003,0.45085,1.57648,0.93004,1.35588,0.000310278,0.000310278,0.000310278
19,6239.34,1.09997,0.66621,1.13153,0.80818,0.76953,0.80068,0.44038,1.60423,0.93771,1.36022,0.000291218,0.000291218,0.000291218
20,6570.64,1.09465,0.65695,1.1219,0.79736,0.77955,0.80467,0.45156,1.57999,0.92174,1.3565,0.000271919,0.000271919,0.000271919
21,6898.62,1.08581,0.65813,1.11889,0.80293,0.76817,0.80089,0.45058,1.56533,0.91498,1.34627,0.0002525,0.0002525,0.0002525
22,7228.97,1.07758,0.64171,1.11548,0.79707,0.77843,0.80108,0.44289,1.58654,0.92455,1.36326,0.000233081,0.000233081,0.000233081
23,7558.06,1.06433,0.63522,1.11322,0.80094,0.7729,0.79606,0.44484,1.59514,0.93396,1.36187,0.000213782,0.000213782,0.000213782
24,7888.28,1.0598,0.63001,1.1118,0.79246,0.77313,0.80084,0.4488,1.5765,0.9191,1.35292,0.000194722,0.000194722,0.000194722
25,8218.62,1.06135,0.63576,1.11072,0.80272,0.77112,0.80131,0.44741,1.59406,0.93331,1.35524,0.000176018,0.000176018,0.000176018
26,8548,1.04776,0.62022,1.1051,0.81646,0.76546,0.80296,0.45048,1.58397,0.92356,1.35905,0.000157786,0.000157786,0.000157786
27,8877.31,1.03849,0.6148,1.09971,0.80809,0.76703,0.79975,0.44578,1.59677,0.93906,1.36779,0.000140137,0.000140137,0.000140137
28,9207.93,1.04153,0.60737,1.10001,0.81309,0.76607,0.80223,0.44544,1.60128,0.92384,1.37279,0.000123182,0.000123182,0.000123182
