epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,702.372,1.74802,3.0994,1.51807,0.50173,0.42557,0.45021,0.22368,1.79656,2.07814,1.54864,0.000255948,0.000255948,0.000255948
2,1586.45,1.70804,1.94962,1.48075,0.53243,0.48745,0.49761,0.25066,1.72174,2.01328,1.51315,0.000512157,0.000512157,0.000512157
3,2485.38,1.66437,1.83869,1.44824,0.55684,0.52736,0.53035,0.26966,1.7551,1.7433,1.51604,0.000767864,0.000767864,0.000767864
4,3360.32,1.67926,1.771,1.44564,0.59086,0.58132,0.60193,0.31385,1.65588,1.59353,1.45595,0.000767311,0.000767311,0.000767311
5,4276.82,1.6293,1.6419,1.40162,0.60851,0.61187,0.63146,0.32028,1.68003,1.47974,1.43457,0.000765998,0.000765998,0.000765998
6,5156.02,1.60339,1.60221,1.3891,0.60669,0.6237,0.64585,0.34685,1.60491,1.45872,1.39544,0.000764314,0.000764314,0.000764314
7,6081.01,1.58214,1.53915,1.35612,0.66614,0.626,0.65132,0.33901,1.68601,1.4373,1.43351,0.000762258,0.000762258,0.000762258
8,7115.78,1.56651,1.483,1.34926,0.65143,0.63153,0.6553,0.34787,1.59269,1.3494,1.39491,0.000759833,0.000759833,0.000759833
9,8543.77,1.55495,1.43921,1.34449,0.66153,0.6197,0.6642,0.35681,1.60168,1.35307,1.38153,0.000757041,0.000757041,0.000757041
10,9492.64,1.53988,1.44342,1.33859,0.69224,0.65365,0.70268,0.37276,1.57972,1.2911,1.38217,0.000753886,0.000753886,0.000753886
11,10563.7,1.52832,1.39242,1.33348,0.6406,0.65101,0.67109,0.35013,1.62548,1.32425,1.38905,0.000750369,0.000750369,0.000750369
12,11667,1.50243,1.35675,1.31203,0.68086,0.66884,0.69962,0.37475,1.6278,1.29175,1.39475,0.000746496,0.000746496,0.000746496
13,12843.6,1.52547,1.36427,1.32316,0.67154,0.65688,0.69459,0.37253,1.58118,1.27464,1.37955,0.000742269,0.000742269,0.000742269
