epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.3,3.56216,5.39426,3.67539,0.00019,0.04665,9e-05,2e-05,3.38979,5.39309,3.27184,0.000767845,0.000767845,0.000767845
2,537.515,3.25436,5.00471,3.12213,0.00016,0.02685,0.0001,3e-05,3.58509,5.40794,3.30007,0.000768666,0.000768666,0.000768666
3,796.92,3.18463,4.98776,2.998,9e-05,0.03132,7e-05,2e-05,3.25896,5.40786,3.1555,0.000767665,0.000767665,0.000767665
4,1050.15,3.17524,4.99466,2.92401,9e-05,0.03468,5e-05,1e-05,3.43713,5.45187,3.21621,0.000765998,0.000765998,0.000765998
5,1300.28,3.12685,4.96463,2.87899,0.33337,0.00149,0,0,3.42581,394.103,3.68464,0.000763669,0.000763669,0.000763669
6,1547.79,3.06566,4.85545,2.84469,9e-05,0.03257,9e-05,2e-05,3.46812,5.5301,3.11274,0.000760682,0.000760682,0.000760682
7,1792.95,3.0215,4.66232,2.77126,6e-05,0.02237,0.00054,0.00013,3.93182,6.03623,3.29022,0.000757041,0.000757041,0.000757041
8,2040.96,2.96537,4.48397,2.72718,0.00258,0.10556,0.00927,0.00364,3.08,5.05715,2.86037,0.000752753,0.000752753,0.000752753
9,2288.05,2.901,4.37331,2.67309,0,0,0,0,3.5274,5.91166,3.19429,0.000747827,0.000747827,0.000747827
10,2531.04,2.85499,4.29429,2.63024,4e-05,0.00149,0,0,3.2897,5.9048,3.16721,0.000742269,0.000742269,0.000742269
11,2770.87,2.77374,4.14828,2.56812,2e-05,0.00037,0,0,3.503,6.11456,3.26359,0.000736091,0.000736091,0.000736091
12,3009.46,2.68104,3.9986,2.48984,0.66772,0.01864,0.00125,0.00037,3.36133,6.25293,3.27595,0.000729302,0.000729302,0.000729302
13,3246.94,2.69209,3.9952,2.47154,0.91293,0.01952,0.0115,0.00467,3.11603,5.25902,2.90439,0.000721916,0.000721916,0.000721916
14,3486.21,2.59414,3.81239,2.39006,0.74301,0.07357,0.03079,0.01522,2.83977,4.87818,2.64235,0.000713944,0.000713944,0.000713944
15,3725.7,2.56704,3.71944,2.36911,8e-05,0.02274,4e-05,1e-05,3.70907,6.74542,3.89984,0.000705401,0.000705401,0.000705401
16,3962.39,2.53656,3.60245,2.32891,0.00163,0.00926,5e-05,1e-05,3.34759,5.99531,3.13436,0.000696301,0.000696301,0.000696301
17,4196.2,2.50126,3.53702,2.29047,0,0,0,0,3.81941,6.73167,4.11149,0.000686662,0.000686662,0.000686662
18,4433.53,2.46926,3.4293,2.26023,0.00013,0.02834,0.00013,3e-05,3.58578,6.89243,3.64099,0.000676499,0.000676499,0.000676499
19,4671.37,2.45084,3.39585,2.21507,0.00338,0.0391,0.00037,0.00016,3.20467,6.18769,3.106,0.000665831,0.000665831,0.000665831
20,4908.65,2.40761,3.29442,2.20687,0.22927,0.0202,0.00243,0.00096,3.05825,5.42248,2.70609,0.000654675,0.000654675,0.000654675
21,5143.82,2.39953,3.25831,2.18247,0,0,0,0,4.00596,7.09309,3.66735,0.000643053,0.000643053,0.000643053
22,5379.59,2.3822,3.22712,2.16248,0,0,0,0,3.9667,7.17795,3.70311,0.000630984,0.000630984,0.000630984
23,5616.95,2.36583,3.15442,2.13259,0.2625,0.01699,0.00815,0.00293,2.96997,5.8871,2.68349,0.000618489,0.000618489,0.000618489
24,5853.9,2.35015,3.11356,2.117,0.34609,0.0048,0.00117,0.00045,3.1761,5.83227,2.87635,0.00060559,0.00060559,0.00060559
25,6089.87,2.31342,3.07228,2.1014,0.93171,0.0473,0.04287,0.01609,3.02026,5.12119,2.72043,0.00059231,0.00059231,0.00059231
26,6323.75,2.33192,3.06242,2.09532,0,0,0,0,3.8175,7.61215,3.7972,0.000578672,0.000578672,0.000578672
27,6561.96,2.29543,3.00437,2.06126,0.00029,0.02126,7e-05,1e-05,3.47428,6.74646,3.12665,0.000564701,0.000564701,0.000564701
28,6805.36,2.277,2.97037,2.06216,0.00173,0.04647,0.00129,0.00034,3.10175,5.60327,2.69314,0.00055042,0.00055042,0.00055042
