epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,653.659,3.57346,5.31375,3.69168,0.33479,0.05029,0.05584,0.02451,2.89844,4.95682,3.02648,0.000255948,0.000255948,0.000255948
2,1632.96,2.65381,3.56424,2.63204,0.32487,0.21047,0.16954,0.06975,2.32448,3.12166,2.41904,0.000511781,0.000511781,0.000511781
3,2439.29,2.29143,2.9435,2.27239,0.29429,0.33633,0.24834,0.11872,2.10198,2.76693,2.20807,0.000765615,0.000765615,0.000765615
4,3261.57,2.15397,2.65747,2.14498,0.47718,0.35407,0.32281,0.16694,1.9537,2.31787,2.06154,0.000762258,0.000762258,0.000762258
5,4078.6,2.05725,2.4861,2.05078,0.40446,0.36238,0.34652,0.1691,1.95483,2.34019,2.04837,0.000757041,0.000757041,0.000757041
6,4900.14,1.97613,2.34777,1.98434,0.38197,0.43513,0.38621,0.18975,1.92603,2.24388,2.00367,0.000750369,0.000750369,0.000750369
7,5667.02,1.93851,2.24004,1.9402,0.43726,0.4185,0.39502,0.19257,1.91705,2.10724,2.01297,0.000742269,0.000742269,0.000742269
8,6387.68,1.89863,2.15051,1.90686,0.51049,0.47079,0.46515,0.22825,1.86185,1.91313,1.91717,0.000732772,0.000732772,0.000732772
9,7061.95,1.85892,2.05428,1.8584,0.50748,0.48468,0.47827,0.24197,1.81201,1.95649,1.90096,0.000721916,0.000721916,0.000721916
10,7774.87,1.85079,2.00208,1.83241,0.5414,0.4825,0.50481,0.26143,1.75886,1.81092,1.83162,0.000709743,0.000709743,0.000709743
11,8492.71,1.78793,1.93082,1.8026,0.5193,0.50728,0.50567,0.2572,1.76567,1.76506,1.8197,0.000696301,0.000696301,0.000696301
12,9181.51,1.77293,1.88816,1.78453,0.57694,0.50945,0.52993,0.27212,1.72701,1.76993,1.78245,0.000681645,0.000681645,0.000681645
13,9918.79,1.73885,1.82648,1.75112,0.58931,0.50957,0.53784,0.28289,1.69681,1.79427,1.76617,0.000665831,0.000665831,0.000665831
14,10605.8,1.73321,1.80831,1.74,0.60388,0.54048,0.57165,0.2941,1.70399,1.61629,1.76967,0.000648921,0.000648921,0.000648921
15,11323.2,1.70804,1.75006,1.7179,0.5935,0.55937,0.59362,0.30446,1.69957,1.59163,1.76872,0.000630984,0.000630984,0.000630984
16,12013.8,1.70316,1.73163,1.70446,0.59393,0.56985,0.59347,0.31329,1.6799,1.53339,1.74504,0.000612088,0.000612088,0.000612088
17,12735.5,1.68184,1.69127,1.69643,0.61328,0.54384,0.59691,0.31109,1.66309,1.55853,1.71939,0.00059231,0.00059231,0.00059231
18,13423.5,1.64882,1.64138,1.6715,0.63861,0.58994,0.62194,0.33076,1.64099,1.49772,1.70705,0.000571727,0.000571727,0.000571727
19,14141.3,1.65605,1.64306,1.67583,0.65326,0.57577,0.62697,0.32873,1.64865,1.45794,1.72077,0.00055042,0.00055042,0.00055042
