epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1064.77,3.33298,4.67451,3.47486,0.21579,0.15375,0.08962,0.03385,2.54043,3.62388,2.63176,0.000768072,0.000768072,0.000768072
2,2690.07,2.55594,3.34067,2.57567,0.14688,0.20061,0.11541,0.05232,2.57685,8.22325,2.68852,0.000765998,0.000765998,0.000765998
3,4127.78,2.26017,2.9019,2.29468,0.24897,0.29827,0.2172,0.09553,2.12408,2.67745,2.17066,0.000757041,0.000757041,0.000757041
4,5656.84,2.12572,2.64512,2.16537,0.34389,0.34852,0.29253,0.15064,1.99682,2.53915,2.08609,0.000742269,0.000742269,0.000742269
5,6800.76,2.03567,2.48947,2.07159,0.43165,0.39308,0.35391,0.17639,1.86801,2.39631,1.97347,0.000721916,0.000721916,0.000721916
6,8090,1.96039,2.30914,2.06959,0.43241,0.44358,0.40218,0.20883,1.80946,2.2685,1.9107,0.000696301,0.000696301,0.000696301
7,9676.88,1.87668,2.17107,1.99283,0.4881,0.45698,0.44124,0.2172,1.83754,1.95112,1.89117,0.000665831,0.000665831,0.000665831
8,10958.2,1.84423,2.05369,1.95166,0.4723,0.48606,0.45723,0.23764,1.72038,1.89144,1.8127,0.000630984,0.000630984,0.000630984
9,12456.7,1.79235,1.96496,1.90886,0.54406,0.52144,0.51154,0.26434,1.7502,1.81734,1.79795,0.00059231,0.00059231,0.00059231
10,13830.7,1.76586,1.88948,1.89041,0.57505,0.52438,0.55024,0.28408,1.69409,1.66971,1.75713,0.00055042,0.00055042,0.00055042
11,15229.9,1.72629,1.81305,1.84139,0.57795,0.53211,0.56135,0.28299,1.72422,1.64521,1.78661,0.000505974,0.000505974,0.000505974
12,16455.8,1.69422,1.74513,1.81219,0.61799,0.56345,0.58993,0.30018,1.70807,1.57631,1.74996,0.000459673,0.000459673,0.000459673
13,17625.5,1.67214,1.69353,1.7936,0.62626,0.55295,0.59803,0.30739,1.676,1.56553,1.72533,0.000412247,0.000412247,0.000412247
14,18819.5,1.64319,1.64057,1.76014,0.63747,0.57072,0.616,0.31963,1.65333,1.5455,1.71444,0.000364443,0.000364443,0.000364443
15,20301.9,1.62544,1.61304,1.74869,0.61893,0.58486,0.629,0.32651,1.64306,1.48248,1.68952,0.000317017,0.000317017,0.000317017
16,21630,1.60006,1.55074,1.7219,0.67064,0.57796,0.65114,0.34479,1.6094,1.43579,1.66392,0.000270716,0.000270716,0.000270716
17,22947.3,1.58179,1.52133,1.70686,0.66801,0.60486,0.66904,0.36121,1.58221,1.39244,1.64083,0.00022627,0.00022627,0.00022627
18,24201.6,1.55836,1.48356,1.67992,0.68322,0.60052,0.6719,0.35482,1.61277,1.37885,1.65217,0.00018438,0.00018438,0.00018438
19,25464.8,1.54084,1.45332,1.67105,0.67388,0.61944,0.68884,0.37093,1.58087,1.34247,1.6368,0.000145706,0.000145706,0.000145706
20,26530.2,1.51356,1.4206,1.6467,0.69564,0.61404,0.69025,0.3701,1.57298,1.33426,1.62361,0.000110859,0.000110859,0.000110859
21,27674.7,1.50679,1.393,1.63553,0.70106,0.61856,0.70006,0.37809,1.56793,1.31415,1.61373,8.03886e-05,8.03886e-05,8.03886e-05
22,29074.6,1.49513,1.37598,1.62854,0.69888,0.63612,0.70377,0.38835,1.53484,1.2927,1.5963,5.47745e-05,5.47745e-05,5.47745e-05
23,30537.2,1.48844,1.36108,1.63238,0.69924,0.63546,0.70582,0.38529,1.5497,1.29088,1.60484,3.44209e-05,3.44209e-05,3.44209e-05
24,31646.2,1.48463,1.3581,1.62557,0.69026,0.63579,0.70535,0.38488,1.55503,1.2932,1.60635,1.9649e-05,1.9649e-05,1.9649e-05
25,32756.2,1.47363,1.34736,1.60864,0.71012,0.63651,0.71022,0.38986,1.54153,1.28554,1.59849,1.06916e-05,1.06916e-05,1.06916e-05
