image,image_score,n_gt_boxes,n_pred_boxes,TP,FP,FN
0035494_jpg.rf.2cb792a6d4bccbcbca109a815ebb224f.jpg,0.37627,2,1,0,1,2
0045405_jpg.rf.333431764ac29d1057b24251cddf837f.jpg,0.29714,1,1,0,1,1
0058408_jpg.rf.83fc2f87909cde95c677447c790ca16e.jpg,0.34062,1,1,0,1,1
0059117_jpg.rf.9df9a7f43117a09891c4b3cbbc4a4f17.jpg,0.31025,1,1,0,1,1
0061978_jpg.rf.f2a0ee56594cfb6168ff767f7a8ac00b.jpg,0.25949,2,1,0,1,2
0063024_jpg.rf.4aaaf0589b129b6d9034d2355d576fc5.jpg,0.37244,1,1,0,1,1
0063058_jpg.rf.2369341ee38678ef8b34ed012e48d5c6.jpg,0.36947,2,1,1,0,1
0063169_jpg.rf.1c5df4a9e06b78d51a7158a0c6155b06.jpg,0.34663,4,1,1,0,3
0064449_jpg.rf.27c1cdec80d582141985d317ce38bbad.jpg,0.29424,1,1,0,1,1
0065294_jpg.rf.6b510d3d5267b0f144bd6229dc764c0d.jpg,0.33414,1,1,1,0,0
0065372_jpg.rf.41d9de06fc20c2c5d1d6ac5b426f8ab2.jpg,0.38808,2,1,0,1,2
0065899_jpg.rf.0c8a44c472af655273071fd54cce95c0.jpg,0.33956,1,1,1,0,0
0065912_jpg.rf.71e62a28f00a2984d424bf076caedd0e.jpg,0.35447,4,1,0,1,4
0065997_jpg.rf.a89bb605422571fe20357e6fd12303ea.jpg,0.33861,1,1,0,1,1
00664_jpg.rf.06ba2474f18f3a8086b82fea3ea4e01b.jpg,0.27781,1,1,0,1,1
0067280_jpg.rf.cc2b49d2304c584984f27339f4e81fca.jpg,0.25878,1,1,0,1,1
0067294_jpg.rf.b98c2146451540af451515791691bced.jpg,0.35621,2,1,1,0,1
0067297_jpg.rf.f692f313ba15339f410cb0495966b7f5.jpg,0.19633,1,1,0,1,1
0067337_jpg.rf.d64611e36b712f306b8665e3681c7299.jpg,0.2728,1,1,0,1,1
0067864_jpg.rf.9b5c7938cf4fc335eba6f8ea5b112d53.jpg,0.34166,1,1,0,1,1
0067892_jpg.rf.025d5d33f05c0375ed45c701c9aae220.jpg,0.29809,1,1,0,1,1
0067993_jpg.rf.490c90b7b134f73557bccf5f077f7acb.jpg,0.31694,1,1,0,1,1
0067999_jpg.rf.506c7e3355ab3f7295a305209333cd5a.jpg,0.33755,1,1,0,1,1
0068040_jpg.rf.726881827362bef7e0b7346e98065cca.jpg,0.31642,1,1,0,1,1
0068075_jpg.rf.62706fbb2ce8061311d2be5c074543ba.jpg,0.31184,1,1,0,1,1
0069056_jpg.rf.4cc33a1b22fa984925d5114b31465897.jpg,0.36569,3,1,1,0,2
0069350_jpg.rf.9afb34eeb4b8295461b59fdd98fa820e.jpg,0.29405,1,1,0,1,1
0069389_jpg.rf.2219b316a545c7e947af9163a29b650f.jpg,0.27994,1,1,0,1,1
0069488_jpg.rf.e824a23ab59e6b5b4a4ccb9618b151c7.jpg,0.22295,1,1,0,1,1
0069490_jpg.rf.606d7f104dcd016c0bd7f1a8158bd517.jpg,0.27681,4,1,0,1,4
0074492_jpg.rf.28809c9ecb21c1b746ef2c6645a37b41.jpg,0.30853,1,1,0,1,1
0075037_jpg.rf.e1bd6daeccb9dbe8acb6ed996c518eee.jpg,0.33754,1,1,0,1,1
0075054_jpg.rf.3fe8f54942dbc0e2533cbdeb8d727b25.jpg,0.3778,4,2,1,1,3
0079911_jpg.rf.d1d27978e00bac75e309c5fba8f3d14c.jpg,0.26573,2,1,0,1,2
0079995_jpg.rf.16d440ac41b7c07de9b4809fd94b4afe.jpg,0.25221,2,1,0,1,2
0081028_jpg.rf.762c11905a530c7c45ec6097d31dcc72.jpg,0.43037,1,1,1,0,0
0100483_jpg.rf.5573bf1e57dd98e73f103910552a95cc.jpg,0.32471,1,1,0,1,1
0100647_jpg.rf.4a7b4de84755fecbb8480bd0be7d5c4f.jpg,0.35433,4,3,2,1,2
0105709_jpg.rf.e93031e759037950663e3c3b1a2276cc.jpg,0.38838,2,1,1,0,1
0105991_jpg.rf.05cd104ca18885d2b42769d86a57fd98.jpg,0.32554,1,1,0,1,1
0106046_jpg.rf.02c095a5d3bc006503bb9896d1fe1c19.jpg,0.25259,1,1,0,1,1
0106117_jpg.rf.0f4daf059c0aff8ef3d438db675d88fe.jpg,0.30772,1,1,0,1,1
0106237_jpg.rf.2e1dd9f5618f26372d6d6e70013b2888.jpg,0.33613,1,1,0,1,1
0107421_jpg.rf.cc3dc207e00580bb5013d3a398d59eda.jpg,0.32689,1,1,0,1,1
0107425_jpg.rf.a03053026ecf5410f97fcb727b02b5f1.jpg,0.30833,1,1,0,1,1
0108046_jpg.rf.4a212170ae15eec1daa24de116e42f44.jpg,0.33385,2,1,1,0,1
0124139_jpg.rf.36bf2f6fb263c70af31721b7a353ca22.jpg,0.33533,1,1,0,1,1
0335843_jpg.rf.c03514467b375fed2dd2c1b2943a245f.jpg,0.2791,1,1,1,0,0
0336898_jpg.rf.70e88be26220b05c81f21becf176a0ea.jpg,0.31635,1,1,1,0,0
0341940_jpg.rf.d67e16db686e96ce38bd5b9b37200a4e.jpg,0.28544,1,1,0,1,1
0343651_jpg.rf.39b830cd431dc674267f91f2830703bc.jpg,0.29713,1,2,0,2,1
