epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,696.932,1.7767,3.19204,1.53484,0.41674,0.4394,0.42064,0.22156,1.73976,2.18959,1.55747,0.000255933,0.000255933,0.000255933
2,1531.18,1.72933,2.01435,1.46702,0.50623,0.51443,0.49395,0.2553,1.76185,2.0919,1.582,0.000502124,0.000502124,0.000502124
3,2345.42,1.69505,1.86889,1.46399,0.53113,0.53426,0.51814,0.26515,1.75108,1.823,1.52031,0.000738164,0.000738164,0.000738164
4,3190.03,1.69903,1.80546,1.45163,0.60289,0.54963,0.5605,0.30128,1.69427,1.62252,1.47296,0.000723321,0.000723321,0.000723321
5,4046.72,1.65305,1.69921,1.42991,0.62949,0.58671,0.6239,0.3263,1.68427,1.49465,1.45112,0.000708095,0.000708095,0.000708095
6,4862.33,1.60705,1.59515,1.38326,0.62919,0.62767,0.6443,0.34323,1.64303,1.44528,1.42683,0.000692869,0.000692869,0.000692869
7,5677.76,1.58731,1.53093,1.36399,0.62871,0.587,0.63656,0.34186,1.62483,1.44506,1.41876,0.000677643,0.000677643,0.000677643
8,6483.71,1.58307,1.49529,1.36941,0.68834,0.60222,0.66096,0.3564,1.62118,1.41324,1.42766,0.000662417,0.000662417,0.000662417
9,7307.86,1.57773,1.46589,1.35758,0.68104,0.64672,0.68172,0.36623,1.59428,1.31602,1.38089,0.00064719,0.00064719,0.00064719
10,8127.89,1.54815,1.40736,1.35136,0.65905,0.634,0.66822,0.36709,1.59549,1.34244,1.41054,0.000631964,0.000631964,0.000631964
11,8960.26,1.52506,1.39814,1.33081,0.6684,0.64868,0.70143,0.38405,1.5862,1.24455,1.36852,0.000616738,0.000616738,0.000616738
12,9814.74,1.51254,1.34584,1.31959,0.68812,0.62068,0.67347,0.36432,1.61348,1.339,1.42202,0.000601512,0.000601512,0.000601512
13,10636.6,1.48665,1.29597,1.30297,0.7157,0.65467,0.71576,0.38813,1.57337,1.21923,1.36869,0.000586286,0.000586286,0.000586286
14,11434.6,1.48454,1.30156,1.30678,0.69012,0.66248,0.71062,0.38537,1.57067,1.20934,1.35728,0.000571059,0.000571059,0.000571059
15,12233.8,1.48683,1.29213,1.30426,0.71239,0.66081,0.72662,0.40448,1.50738,1.19064,1.33428,0.000555833,0.000555833,0.000555833
16,13034.7,1.46435,1.24179,1.2913,0.71924,0.692,0.74771,0.41876,1.52739,1.12566,1.32098,0.000540607,0.000540607,0.000540607
17,13827.6,1.46415,1.23713,1.28251,0.73803,0.69417,0.75037,0.4122,1.56538,1.11147,1.32982,0.000525381,0.000525381,0.000525381
18,14630.8,1.44674,1.2173,1.26889,0.72378,0.69617,0.75007,0.41722,1.54396,1.12612,1.31238,0.000510155,0.000510155,0.000510155
19,15443,1.43525,1.19514,1.25775,0.75984,0.70275,0.76266,0.43566,1.494,1.09844,1.30306,0.000494928,0.000494928,0.000494928
20,16293.9,1.43227,1.16045,1.24989,0.74686,0.70828,0.75764,0.42045,1.53859,1.09869,1.32076,0.000479702,0.000479702,0.000479702
21,17134.7,1.4323,1.17396,1.25871,0.72361,0.70917,0.75488,0.42259,1.54267,1.10065,1.3325,0.000464476,0.000464476,0.000464476
22,17966.5,1.42633,1.1607,1.25634,0.75163,0.70942,0.77033,0.43533,1.50554,1.07169,1.29838,0.00044925,0.00044925,0.00044925
23,18762.9,1.39814,1.12542,1.24426,0.78702,0.70412,0.78262,0.43303,1.54305,1.0652,1.32171,0.000434024,0.000434024,0.000434024
24,19550.6,1.41012,1.12919,1.24629,0.76135,0.72004,0.7769,0.43417,1.53791,1.04608,1.30978,0.000418797,0.000418797,0.000418797
25,20335.7,1.40705,1.09508,1.23867,0.75104,0.7232,0.77865,0.43697,1.53654,1.04089,1.31859,0.000403571,0.000403571,0.000403571
