epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,786.592,3.21032,5.08294,3.56554,0.24269,0.17098,0.10011,0.04327,2.58487,3.73731,2.68548,0.000255933,0.000255933,0.000255933
2,1873.1,2.39229,3.18077,2.55446,0.2087,0.27572,0.20425,0.0989,2.24221,2.81395,2.30387,0.000502124,0.000502124,0.000502124
3,2921.03,2.13176,2.64645,2.25636,0.26979,0.33726,0.28089,0.13332,2.05657,2.45879,2.14541,0.000738164,0.000738164,0.000738164
4,3904.51,2.02301,2.44764,2.14202,0.33005,0.38938,0.33155,0.16435,1.93221,2.20542,2.02497,0.000723321,0.000723321,0.000723321
5,4786.89,1.92338,2.21565,2.04211,0.32724,0.48657,0.3926,0.18803,1.92286,2.17555,1.97833,0.000708095,0.000708095,0.000708095
6,5736.61,1.87422,2.08189,1.99915,0.45425,0.51193,0.46875,0.23622,1.81921,1.88413,1.89719,0.000692869,0.000692869,0.000692869
7,6626.72,1.82713,1.96706,1.93989,0.5128,0.50936,0.48396,0.24273,1.80341,1.77211,1.86579,0.000677643,0.000677643,0.000677643
8,7601.5,1.80344,1.88769,1.90569,0.52747,0.52368,0.52071,0.25085,1.79353,1.71193,1.8581,0.000662417,0.000662417,0.000662417
9,8514.21,1.74753,1.79447,1.86353,0.59105,0.53087,0.55322,0.28882,1.73739,1.62937,1.78623,0.00064719,0.00064719,0.00064719
10,9494.29,1.73148,1.7554,1.84645,0.59233,0.53993,0.56776,0.27743,1.78797,1.58823,1.82659,0.000631964,0.000631964,0.000631964
11,10314.3,1.70522,1.70822,1.83268,0.60052,0.52676,0.53483,0.26669,1.81632,1.84382,1.86717,0.000616738,0.000616738,0.000616738
12,11270,1.68076,1.66318,1.81076,0.62143,0.58481,0.59702,0.29483,1.75805,1.49466,1.81483,0.000601512,0.000601512,0.000601512
13,12273.5,1.64181,1.58938,1.75753,0.66505,0.57931,0.63648,0.31999,1.73885,1.456,1.78268,0.000586286,0.000586286,0.000586286
14,13288.1,1.64098,1.56744,1.75972,0.66721,0.5961,0.64292,0.3237,1.71966,1.41196,1.76225,0.000571059,0.000571059,0.000571059
15,14253.6,1.61663,1.52372,1.74932,0.64057,0.59817,0.63578,0.32726,1.69433,1.45796,1.74963,0.000555833,0.000555833,0.000555833
16,15276.1,1.61459,1.49638,1.72911,0.68894,0.60762,0.67145,0.34641,1.66645,1.36312,1.72647,0.000540607,0.000540607,0.000540607
17,16213.7,1.59814,1.47653,1.72232,0.66723,0.64533,0.68185,0.3485,1.70147,1.31868,1.74825,0.000525381,0.000525381,0.000525381
18,17174.1,1.59141,1.45081,1.71498,0.67225,0.63825,0.67239,0.34606,1.69654,1.37924,1.76664,0.000510155,0.000510155,0.000510155
19,17976.9,1.58862,1.42098,1.7198,0.72297,0.60961,0.69369,0.3614,1.64611,1.31904,1.68958,0.000494928,0.000494928,0.000494928
20,18975.5,1.59054,1.42941,1.71248,0.69044,0.64923,0.70549,0.36714,1.66721,1.30634,1.73234,0.000479702,0.000479702,0.000479702
